13123;SPSB1;splA/ryanodine receptor domain and SOCS box containing 1
13201;ADAM33;ADAM metallopeptidase domain 33
13241;NDFIP1;Nedd4 family interacting protein 1
13254;ASXL3;ASXL transcriptional regulator 3
13299;POLR2M;RNA polymerase II subunit M
13337;TRIM8;tripartite motif containing 8
13364;OR5V1;olfactory receptor family 5 subfamily V member 1
13366;DOCK8;dedicator of cytokinesis 8
13372;TLR10;toll like receptor 10
13375;OR12D3;olfactory receptor family 12 subfamily D member 3
13427;ARHGAP24;Rho GTPase activating protein 24
13433;TTC25;tetratricopeptide repeat domain 25
13438;DNAL1;dynein axonemal light chain 1
13518;RSPH3;radial spoke head 3
13549;TATDN1;TatD DNase domain containing 1
13627;KIAA1109;KIAA1109
13749;CARD11;caspase recruitment domain family member 11
13867;COX4I2;cytochrome c oxidase subunit 4I2
13918;PHF5A;PHD finger protein 5A
13998;FBXL20;F-box and leucine rich repeat protein 20
14006;DISP1;dispatched RND transporter family member 1
14023;CFAP300;cilia and flagella associated protein 300
14096;CCDC65;coiled-coil domain containing 65
14098;TSLP;thymic stromal lymphopoietin
14113;RSPH1;radial spoke head component 1
14125;PPP1R3F;protein phosphatase 1 regulatory subunit 3F
14239;IL33;interleukin 33
14317;NEK9;NIMA related kinase 9
14327;TIMD4;T cell immunoglobulin and mucin domain containing 4
14390;ARRDC1;arrestin domain containing 1
14396;DRC1;dynein regulatory complex subunit 1
14408;ADAMTSL1;ADAMTS like 1
14427;PGAP3;post-GPI attachment to proteins phospholipase 3
14428;CCDC114;coiled-coil domain containing 114
14474;POM121L2;POM121 transmembrane nucleoporin like 2
14484;ORMDL3;ORMDL sphingolipid biosynthesis regulator 3
14663;ZNF618;zinc finger protein 618
14685;LRRC56;leucine rich repeat containing 56
14687;UHRF2;ubiquitin like with PHD and ring finger domains 2
14701;RASGRP4;RAS guanyl releasing protein 4
14711;CCDC151;coiled-coil domain containing 151
14714;RMI2;RecQ mediated genome instability 2
14790;SCGB3A2;secretoglobin family 3A member 2
14805;TAGAP;T cell activation RhoGTPase activating protein
14810;PARD3B;par-3 family cell polarity regulator beta
14873;LRRK2;leucine rich repeat kinase 2
14896;BTBD11;BTB domain containing 11
14953;DNAAF1;dynein axonemal assembly factor 1
14982;ZPBP2;zona pellucida binding protein 2
14986;SPATA32;spermatogenesis associated 32
15176;ACMSD;aminocarboxymuconate semialdehyde decarboxylase
15184;AP1S3;adaptor related protein complex 1 subunit sigma 3
15277;UBE2QL1;ubiquitin conjugating enzyme E2 Q family like 1
15286;WDR36;WD repeat domain 36
15364;PIH1D3;PIH1 domain containing 3
15408;ZBTB46;zinc finger and BTB domain containing 46
15428;ADAMTS14;ADAM metallopeptidase with thrombospondin type 1 motif 14
15474;MPP7;membrane palmitoylated protein 7
15519;GLT1D1;glycosyltransferase 1 domain containing 1
15533;LACC1;laccase domain containing 1
15576;CARMIL2;capping protein regulator and myosin 1 linker 2
15724;IL23R;interleukin 23 receptor
15738;PYHIN1;pyrin and HIN domain family member 1
15779;LINC01931;long intergenic non-protein coding RNA 1931
15790;PUS10;pseudouridine synthase 10
15851;LINC02085;long intergenic non-protein coding RNA 2085
15866;JAKMIP1;janus kinase and microtubule interacting protein 1
15886;PLEKHG4B;pleckstrin homology and RhoGEF domain containing G4B
15915;CCDC167;coiled-coil domain containing 167
15977;SAXO1;stabilizer of axonemal microtubules 1
16009;SLC5A12;solute carrier family 5 member 12
16028;DGKH;diacylglycerol kinase eta
16047;DNAAF4;dynein axonemal assembly factor 4
16052;EXD1;exonuclease 3'-5' domain containing 1
16054;ZFPM1;zinc finger protein, FOG family member 1
